INFO 2025-09-25 07:32:40,031 autoreload 22872 8604131520 Watching for file changes with StatReloader
WARNING 2025-09-25 07:33:18,709 basehttp 22872 13069578240 "GET /api/v1/alerts/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,819 log 22872 13069578240 Unauthorized: /api/v1/devices/stats/
WARNING 2025-09-25 07:33:18,820 log 22872 6136754176 Unauthorized: /api/v1/tasks/stats/
WARNING 2025-09-25 07:33:18,821 log 22872 6170406912 Unauthorized: /api/v1/alerts/stats/
WARNING 2025-09-25 07:33:18,821 log 22872 6153580544 Unauthorized: /api/v1/results/stats/
WARNING 2025-09-25 07:33:18,822 basehttp 22872 13069578240 "GET /api/v1/devices/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,822 basehttp 22872 6170406912 "GET /api/v1/alerts/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,823 log 22872 13035925504 Unauthorized: /api/v1/devices/stats/
WARNING 2025-09-25 07:33:18,824 basehttp 22872 6136754176 "GET /api/v1/tasks/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,825 log 22872 13052751872 Unauthorized: /api/v1/tasks/stats/
WARNING 2025-09-25 07:33:18,825 basehttp 22872 6153580544 "GET /api/v1/results/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,828 log 22872 6136754176 Unauthorized: /api/v1/alerts/stats/
WARNING 2025-09-25 07:33:18,829 basehttp 22872 13035925504 "GET /api/v1/devices/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,831 log 22872 6170406912 Unauthorized: /api/v1/results/stats/
WARNING 2025-09-25 07:33:18,831 basehttp 22872 6136754176 "GET /api/v1/alerts/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,831 basehttp 22872 13052751872 "GET /api/v1/tasks/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,832 basehttp 22872 6170406912 "GET /api/v1/results/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,942 log 22872 6170406912 Unauthorized: /api/v1/devices/stats/
WARNING 2025-09-25 07:33:18,942 log 22872 6136754176 Unauthorized: /api/v1/tasks/stats/
WARNING 2025-09-25 07:33:18,943 log 22872 13052751872 Unauthorized: /api/v1/alerts/stats/
WARNING 2025-09-25 07:33:18,943 log 22872 13035925504 Unauthorized: /api/v1/results/stats/
WARNING 2025-09-25 07:33:18,944 basehttp 22872 6170406912 "GET /api/v1/devices/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,944 basehttp 22872 6136754176 "GET /api/v1/tasks/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,944 basehttp 22872 13052751872 "GET /api/v1/alerts/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,946 log 22872 6153580544 Unauthorized: /api/v1/devices/stats/
WARNING 2025-09-25 07:33:18,947 log 22872 13069578240 Unauthorized: /api/v1/tasks/stats/
WARNING 2025-09-25 07:33:18,947 log 22872 6170406912 Unauthorized: /api/v1/alerts/stats/
WARNING 2025-09-25 07:33:18,948 basehttp 22872 13035925504 "GET /api/v1/results/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,948 basehttp 22872 6153580544 "GET /api/v1/devices/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,949 basehttp 22872 6170406912 "GET /api/v1/alerts/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,949 basehttp 22872 13069578240 "GET /api/v1/tasks/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,951 log 22872 6153580544 Unauthorized: /api/v1/results/stats/
WARNING 2025-09-25 07:33:18,951 basehttp 22872 6153580544 "GET /api/v1/results/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:19,062 log 22872 6153580544 Unauthorized: /api/v1/devices/stats/
WARNING 2025-09-25 07:33:19,062 log 22872 6170406912 Unauthorized: /api/v1/tasks/stats/
WARNING 2025-09-25 07:33:19,063 log 22872 13069578240 Unauthorized: /api/v1/alerts/stats/
WARNING 2025-09-25 07:33:19,063 log 22872 13035925504 Unauthorized: /api/v1/results/stats/
WARNING 2025-09-25 07:33:19,064 basehttp 22872 6170406912 "GET /api/v1/tasks/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:19,064 basehttp 22872 6153580544 "GET /api/v1/devices/stats/ HTTP/1.1" 401 179
